CHGOCA,NEWWARD,TOT2010
01,40,1704
01,49,53287
01,50,0
02,40,15939
02,49,2608
02,50,53395
03,40,1253
03,46,36069
03,47,10618
03,48,8422
04,40,27389
04,47,12104
05,01,181
05,32,11346
05,33,127
05,47,20213
06,32,8456
06,44,56058
06,46,17715
06,47,12139
07,01,314
07,02,7431
07,27,229
07,32,5985
07,43,50157
08,02,30971
08,27,11695
08,42,31805
08,43,6013
09,41,11187
10,39,2514
10,41,28199
10,45,6310
11,39,2217
11,45,23231
12,39,10398
12,41,6125
12,45,1985
13,33,184
13,39,15333
13,50,2414
14,33,24160
14,35,11655
14,39,15727
15,30,9360
15,31,7223
15,36,6730
15,38,24295
15,39,0
15,45,16516
16,30,7639
16,33,19018
16,35,9084
16,39,9693
16,45,7925
17,29,4086
17,30,715
17,36,7701
17,38,29430
18,29,4579
18,36,8847
19,29,98
19,30,23361
19,31,26128
19,36,29148
19,37,8
20,26,2082
20,31,11293
20,35,9415
20,36,2220
21,30,14485
21,31,3035
21,32,303
21,33,12109
21,35,9330
22,01,20599
22,02,121
22,26,6337
22,31,6045
22,32,24696
22,35,15797
23,26,29014
23,27,13752
23,28,0
23,36,1
23,37,13556
24,01,35055
24,02,17282
24,26,16083
24,27,8069
24,32,4398
24,42,545
25,24,692
25,28,13492
25,29,46504
25,36,119
25,37,37707
26,24,3799
26,28,13935
26,37,267
27,24,4596
27,27,5831
27,28,10140
28,11,5776
28,25,11112
28,27,13363
28,28,15222
28,42,9408
29,12,1
29,22,1451
29,24,32067
29,28,2393
30,12,19850
30,14,0
30,22,45683
30,24,13755
30,28,0
31,11,1733
31,25,34019
31,28,17
32,04,13319
32,25,1852
32,42,14112
33,03,21021
33,04,369
33,25,0
34,03,906
34,11,6624
34,25,5861
35,03,7826
35,04,10412
36,04,5918
37,03,2876
37,11,0
38,03,15499
38,04,6430
39,04,14580
39,05,3261
40,03,3610
40,04,0
40,20,8107
41,04,3561
41,05,22120
42,05,6746
42,06,19
42,20,19218
43,05,17242
43,07,22699
43,08,9826
44,06,12815
44,08,10597
44,09,4312
44,17,2081
44,21,1223
45,05,0
45,07,0
45,08,10185
46,07,15511
46,08,4451
46,10,11236
47,08,2916
48,07,5660
48,08,7718
48,10,434
49,09,24381
49,21,5147
49,34,15091
50,08,3644
50,09,3681
50,10,0
51,07,7711
51,08,1
51,10,7397
52,10,23042
53,09,11208
53,34,18443
54,09,6482
55,09,0
55,10,9426
56,13,5430
56,14,9872
56,22,6381
56,23,12830
57,14,10945
57,23,2448
58,12,18084
58,14,6263
58,15,21021
59,11,0
59,12,13917
59,25,1695
60,11,31977
61,03,514
61,11,5387
61,12,383
61,15,17041
61,16,6386
61,20,14666
62,13,7564
62,14,299
62,23,10246
63,14,26652
63,15,3231
63,16,6790
63,23,3221
64,13,18195
64,23,4944
65,13,22529
65,18,824
65,23,10002
66,13,0
66,16,17496
66,17,19812
66,18,8283
66,23,10037
67,06,1830
67,15,10208
67,16,13064
67,17,10403
67,20,0
68,03,787
68,06,12743
68,16,8218
68,17,1318
68,20,7588
69,05,2086
69,06,24060
69,08,2349
69,17,1314
69,20,2793
70,13,4
70,18,41077
71,06,874
71,17,16918
71,18,2808
71,21,28143
72,19,19682
72,34,352
73,09,1455
73,21,17119
73,34,7919
74,19,19093
75,19,12750
75,34,9794
76,38,2276
76,41,10480
77,40,9034
77,48,47487